team,rating,matches,last_match_date
Estonia,1439.3195120950215,531,2025-06-09
French Somaliland,1438.5997137594202,7,1960-04-14
Vanuatu,1437.7879103696696,181,2024-12-21
FS Micronesia,1437.5738701526539,8,2003-07-07
Khmer Republic,1437.093887349377,69,1974-12-20
Cuba,1436.7556938211478,494,2025-06-10
French Guiana,1434.8038501203423,188,2024-11-19
Guyana,1431.3077392955213,283,2025-06-10
Kazakhstan,1428.3703102036839,260,2025-06-09
Madagascar,1427.9937926512391,346,2025-06-15
Sierra Leone,1427.7208339615804,321,2025-03-25
Azerbaijan,1424.4755023663781,314,2025-06-10
South Vietnam,1424.0965744482007,217,1975-03-23
Turkmenistan,1421.257813236106,177,2025-06-10
Upper Volta,1420.7508386138718,72,1984-08-03
Ethiopia,1420.44043872023,454,2025-03-24
Burundi,1417.4381176862973,232,2025-06-10
Niger,1413.4738878834087,276,2025-06-10
Zanzibar,1413.2416048880095,204,2023-12-27
Tuvalu,1411.972339616099,34,2023-11-30
Bermuda,1411.4086519734237,226,2025-06-10
Kiribati,1410.176104098318,11,2011-09-05
Western Samoa,1407.8726226575181,21,1996-11-15
Guinea-Bissau,1406.705891737975,197,2025-06-09
India,1404.4077781808535,577,2025-06-10
Congo,1403.7465915981134,459,2024-11-19
South Yemen,1403.1544904918999,40,1989-11-05
Malawi,1401.569049058176,652,2025-07-06
Swaziland,1396.181849993342,228,2018-03-27
Central African Republic,1395.35897658889,156,2025-06-06
Wallis and Futuna,1393.1928173377134,24,1995-08-20
New Hebrides,1392.3265239419966,37,1980-03-31
Liberia,1389.4712219348949,324,2025-03-24
Cyprus,1388.5285055303011,420,2025-06-10
St Vincent & Grenadines,1387.2469347717974,351,2025-06-10
Hong Kong,1386.5063183550915,506,2025-07-15
Samoa,1381.4206026179984,56,2024-11-18
Moldova,1379.605171036191,291,2025-06-09
Puerto Rico,1375.99238731655,195,2025-06-10
Latvia,1375.8820024138838,450,2025-06-10
Lesotho,1375.3172659988575,332,2025-06-10
British Guiana,1374.1512692346266,164,1966-01-31
Singapore,1373.5731856579307,751,2025-06-10
Eswatini,1372.390747106348,74,2025-06-11
Netherlands Antilles,1368.068592123549,216,2010-10-17
Greenland,1365.0865820516665,18,2024-06-01
Philippines,1362.6434666570628,383,2025-06-10
Grenada,1361.6580956069492,297,2025-06-10
Lithuania,1357.3688856054416,408,2025-06-10
Saint Kitts and Nevis,1354.2699008728782,234,2025-06-10
Malta,1352.8258529779112,446,2025-06-10
Belize,1349.934609007803,123,2025-06-07
Saint Lucia,1345.9188780662676,248,2025-06-10
Ceylon,1343.4836643968072,26,1972-03-26
Saint Martin,1343.4166732056121,79,2025-05-25
Cook Islands,1338.764792103859,56,2024-09-09
Sint Maarten,1329.7731335174026,71,2024-11-18
North Yemen,1328.1324756000802,37,1989-04-05
Faroe Islands,1323.620525297789,274,2025-06-09
Montserrat,1322.0546981861883,75,2025-06-10
Eritrea,1321.8616977778008,84,2020-01-25
South Sudan,1321.3971278342756,74,2025-03-25
Yemen,1319.7391831529148,241,2025-06-10
Chad,1318.9254948247587,173,2025-06-10
Antigua and Barbuda,1310.8123308120723,279,2025-06-10
Dominica,1300.9231386014892,238,2025-06-10
Bonaire,1295.3868883068255,99,2025-03-25
Afghanistan,1293.1351343312276,157,2025-06-10
Mauritius,1291.4715400751472,340,2025-06-10
Barbados,1287.8502037884778,366,2025-06-10
Tonga,1284.5401531478694,70,2024-09-09
Myanmar,1268.2077997225847,258,2025-06-10
Aruba,1268.0856557176162,201,2025-06-07
Taiwan,1264.9131054056038,332,2025-06-10
São Tomé and Príncipe,1264.2534057653872,74,2025-03-24
Cayman Islands,1257.4716121089314,125,2025-06-07
Gibraltar,1253.7338503831343,108,2025-06-09
Eastern Samoa,1248.694591300684,57,2024-09-09
Turks and Caicos Islands,1243.493803826545,54,2024-10-15
Bahamas,1237.100608681061,85,2025-06-07
Nepal,1229.9420770968559,293,2025-06-10
Bangladesh,1229.6468913821025,318,2025-06-10
